site_id;nature;nom_prodcartofriches;site_id_ok;TEST
92036_4229;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;92036_4229;OK
92036_20963;fond friche;Appel à projet Fonds Friches;92036_20963;OK
28134_7380;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;28134_7380;OK
39286_12375;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;39286_12375;OK
89332_8730;MTE;Friche étude Ademe 2021;89332_8730;OK
77071_7488;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;77071_7488;OK
59012_21585;fond friche;Appel à projet Fonds Friches;59012_21585;OK
95063_2204;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;95063_2204;OK
95063_7461;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;95063_7461;OK
57240_23967;observatoire local;EPF Grand Est;57240_23967;OK
95394_10885;fond friche;Appel à projet Fonds Friches;95394_10885;OK
81224_3110;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;81224_3110;OK
42323_17382;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;42323_17382;OK
59036_21987;fond friche;Appel à projet Fonds Friches;59036_21987;OK
36133_14135;MTE;Friche étude Ademe 2021;36133_14135;OK
59178_22144;fond friche;Appel à projet Fonds Friches;59178_22144;OK
52357_11475;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;52357_11475;OK
22107_19646;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22107_19646;OK
36150_13688;MTE;Friche étude Ademe 2021;36150_13688;OK
22266_19653;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22266_19653;OK
36014_18091;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;36014_18091;OK
21134_19098;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;21134_19098;OK
23035_10557;MTE;Site Basias ou Basol vérifié par le Cerema en 2020;23035_10557;OK
22025_16284;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22025_16284;OK
23072_11117;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;23072_11117;OK
23096_11124;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;23096_11124;OK
59276_894;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;59276_894;OK
23045_11136;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;23045_11136;OK
23162_15503;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;23162_15503;OK
23105_14980;fond friche;Appel à projet Fonds Friches;23105_14980;OK
23021_17897;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;23021_17897;OK
23217_17798;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;23217_17798;OK
23113_17830;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;23113_17830;OK
23096_17934;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;23096_17934;OK
63173_17294;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;63173_17294;OK
23188_18009;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;23188_18009;OK
11030_12904;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;11030_12904;OK
36016_12997;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;36016_12997;OK
22225_16853;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;22225_16853;OK
02095_15841;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;02095_15841;OK
57606_8508;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;57606_8508;OK
22337_12150;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;22337_12150;OK
12135_16599;MTE non vérifié;Site Basias ou Basol non vérifié par le Cerema;12135_16599;OK
22320_12470;Ademe;Friche étude Ademe 2021, intéressante pour du PV au sol;22320_12470;OK
